1,Beer - Sleemans Honey Brown,37.38
2,Bread - Burger,66.71
3,Tomato - Green,75.39
4,Wine - Fume Blanc Fetzer,82.95
5,Pepper - Orange,70.54
6,Ecolab - Hobart Upr Prewash Arm,79.87
7,Beer - Mill St Organic,30.90
8,Thermometer Digital,76.50
9,Tea - Green,54.65
10,Milk - Homo,79.06
11,Milk - 1%,56.17
12,Island Oasis - Mango Daiquiri,35.61
13,"Beef - Chuck Boneless",78.24
14,Wine - Rioja Campo Viejo,62.67
15,Bagelers - Cinn / Brown Sugar,64.82
16,Turkey Leg With Drum And Thigh,67.58
17,Snapple - Mango Maddness,33.45
18,Sprouts - Onion,82.50
19,Wine - Red Oakridge Merlot,57.50
20,Squash - Acorn,71.93
21,Energy - Boo - Koo,88.56
22,Pop Shoppe Cream Soda,73.36
23,Fond - Neutral,70.62
24,Wine - Rosso Del Veronese Igt,59.64
25,Pie Filling - Cherry,97.63
26,Remy Red,45.99
27,Peach - Fresh,65.49
28,Cheese - Swiss Sliced,96.97
29,Bread - Pita,71.41
30,Cheese - Mix,23.45
31,Yogurt - French Vanilla,30.54
32,"Asparagus - White Fresh",67.21
33,"Tart Shells - Savory",68.33
34,Oven Mitt - 13 Inch,46.91
35,Radish - Pickled,25.72
36,Soup - Campbells Bean Medley,90.79
37,Cheese - Parmesan Cubes,70.34
38,True - Vue Containers,79.10
39,"Veal - Chops Split Frenched",23.73
40,Asparagus - Mexican,24.44
41,Filo Dough,48.28
42,Fennel - Seeds,34.82
43,Rice Paper,25.71
44,Dehydrated Kelp Kombo,99.05
45,Compound - Passion Fruit,92.88
46,Cocoa Feuilletine,84.75
47,Pears - Fiorelle,48.84
48,Grapes - Black,26.00
49,Wine - Vineland Estate Semi - Dry,91.34
50,Cinnamon - Stick,44.20
51,Barramundi,78.52
52,Pork - Caul Fat,48.78
53,Tart - Butter Plain Squares,73.42
54,Nantucket - Carrot Orange,49.71
55,Ecolab - Power Fusion,83.80
56,"Juice - Pineapple",62.80
57,Trueblue - Blueberry 12x473ml,90.71
58,Ostrich - Prime Cut,41.65
59,Garbage Bags - Black,51.43
60,Whmis Spray Bottle Graduated,44.13
61,"Cheese - Brie Triple Creme",30.69
62,Wine - Semi Dry Riesling Vineland,95.78
63,Island Oasis - Peach Daiquiri,86.86
64,Strawberries,72.26
65,Quail - Jumbo Boneless,62.21
66,Tofu - Soft,87.84
67,Ostrich - Prime Cut,58.20
68,Red Pepper Paste,23.30
69,Chinese Foods - Pepper Beef,45.33
70,Potatoes - Fingerling,59.68
71,Pepper Squash,30.39
72,"Salmon - Whole 4 - 6 Pounds",30.77
73,Sping Loaded Cup Dispenser,38.44
74,"Rum - Spiced Captain Morgan",62.02
75,Coffee - Hazelnut Cream,79.39
76,Scampi Tail,52.73
77,Food Colouring - Pink,95.09
78,Arizona - Plum Green Tea,89.81
79,"Juice - Orange Concentrate",30.19
80,Wine - Sake,30.68
81,Soup Campbells - Tomato Bisque,29.87
82,Table Cloth 53x53 White,87.83
83,Sage - Ground,94.79
84,Rice Paper,40.58
85,Wine - Zinfandel Rosenblum,48.49
86,"Soup - Campbells Lentil",27.98
87,"Croissant Raw - Mini",91.70
88,Garam Masala Powder,27.65
89,Lid Coffeecup 12oz D9542b,76.88
90,Coffee - Almond Amaretto,68.10
91,Truffle Cups Green,21.74
92,Jack Daniels,86.09
93,"Veal - Tenderloin Untrimmed",57.67
94,Cape Capensis - Fillet,49.45
95,Cheese - Comte,27.17
96,"Soup - Campbells Beef Barley",57.82
97,Pork - Belly Fresh,51.26
98,"Wine - White Ej",80.33
99,Scallops - 20/30,66.83
100,Bagel - Ched Chs Presliced,41.10
